outcome,k,cell,HR,lo,hi
lung,0,1,0.9120778676505839,0.646565969378062,1.2866220556863441
lung,0,2,0.9847048362366435,0.7924874437648234,1.2235444512551596
lung,0,3,0.9517022854108277,0.7294014858288714,1.2417540375955474
lung,0,5,0.8190596411361614,0.660828118519385,1.0151787990516905
lung,0,6,0.6540622158873158,0.4965524105482942,0.8615352038650885
lung,0,7,0.6647558830867337,0.4821989709900962,0.9164274722342768
lung,0,8,0.472264507885361,0.3757959161146639,0.5934970441247412
lung,0,9,0.563055145317646,0.41738155311929326,0.7595714144512364
lung,1,1,0.785693046369854,0.5946929913211902,1.0380373942906183
lung,1,2,0.945036476927725,0.7265286375314722,1.2292618578098082
lung,1,3,0.7597521782407506,0.5684111928270646,1.0155031773225156
lung,1,5,0.6413932653579518,0.4949959472915514,0.8310882606160632
lung,1,6,0.5346720425314272,0.3785681356488156,0.7551459463823542
lung,1,7,0.5688307528937614,0.45369448725972894,0.713185710921915
lung,1,8,0.5508376749428617,0.4160206186685862,0.729344004889749
lung,1,9,0.3273992704532775,0.207936256517812,0.5154958740163542
lung,2,1,1.1632036615766188,0.915699682508401,1.4776053592143077
lung,2,2,1.1758492386029327,0.9333611447245451,1.4813359649025648
lung,2,3,1.2070655918529356,0.9164519626799281,1.5898349311999225
lung,2,5,0.8637041600082584,0.6533826022206272,1.1417274862847897
lung,2,6,0.7932941371910577,0.5718783941935526,1.1004360271192766
lung,2,7,0.59206883480365,0.4367907381849541,0.8025479354310787
lung,2,8,0.6706064480768609,0.46525397280606734,0.9665968148319674
liver,0,1,0.7012057218714665,0.290067991479278,1.6950834936243209
liver,0,2,0.7726510481297411,0.4096419526443713,1.4573449772959681
liver,0,3,0.6688154549565971,0.2263435752918965,1.9762615846813245
liver,0,5,0.7197656480000838,0.3870871683169422,1.3383615641239683
liver,0,6,0.41924073935553235,0.22929920499308679,0.7665216176422093
liver,0,7,0.21892507891498802,0.11046621497254333,0.4338719326071452
liver,0,8,0.18324829720432007,0.08182529334733546,0.41038579948306786
liver,0,9,0.3198838678062107,0.1429061024011487,0.7160344251459955
liver,1,1,0.7629856048892861,0.3839091847648385,1.516366516797093
liver,1,2,0.7486745129181869,0.31362824931208816,1.7871908143565323
liver,1,3,0.5286866455724748,0.23369276069280073,1.1960557459206154
liver,1,5,0.5313978752440081,0.28651509329934705,0.9855805450319354
liver,1,6,0.3691942983432387,0.20011602584760743,0.6811270079536511
liver,1,7,0.23574835820907775,0.11601742579357671,0.47904259224955725
liver,1,8,0.21010082610856548,0.0941435585760364,0.4688834562786307
liver,1,9,0.2771488746539186,0.1155686120514912,0.6646397958617898
liver,2,1,0.9345351373811517,0.5441710992864185,1.6049288985491064
liver,2,2,0.8913071010043072,0.3850480161980939,2.0631929392722705
liver,2,3,1.2165276390432604,0.6510305988588206,2.273225711894844
liver,2,5,0.5741719157789534,0.3361928512195198,0.9806079685317601
liver,2,6,0.2650713063597376,0.13588073247228694,0.51709168898974
liver,2,7,0.2467641628912843,0.11454947282845698,0.5315829971441741
liver,2,8,0.40345068491485336,0.1929507470329895,0.8435958795766386
rectum,0,1,0.6474734378992333,0.3818521829422225,1.0978642299616868
rectum,0,2,1.364645185701118,0.9973352677921223,1.8672321565243137
rectum,0,3,1.2105153771375081,0.8565748334017781,1.7107057330495248
rectum,0,5,0.9260492951882897,0.6832365004867008,1.2551543960368678
