category,as_reported_pct,harmonised_pct
Sugar (kcal/day),33.41,33.41
"Fats (butter, margarine, lard)",12.65,12.65
"Fruit and vegetables (canned fruit, fresh fruit, vegetables)",8.77,-3.3
"Dairy (milk, welfare/school milk, cheese)",0.18,-1.2
Cereals (as reported: total cereals + bread + flour; harmonised: total cereals),-0.64,-3.4
"Meat (meat, fish, bacon and ham)",-4.06,2.22
series: butter_gday,18.79,18.79
series: margarine_gday,10.17,10.17
series: lard_gday,7.91,7.91
series: otherfruit_gday,26.67,26.67
series: lmilkwelfareandschoolpt_gday,-2.45,-2.45
series: Fish_gday,-15.24,-15.24
series: Cheese_gday,22.34,22.34
series: baconandhamuncooked_gday,5.43,5.43
series: flour_gday,3.59,3.59
series: MilkCream_gday10 (x10 = g/day),-1.63,-1.63
series: freshfruit_gday10 (x10 = g/day),-5.68,-5.68
series: Vegetables_gday10 (x10 = g/day),-5.75,-5.75
series: bread_gday10 (x10 = g/day),-2.97,-2.97
series: totalcereals_gday10 (x10 = g/day),-3.4,-3.4
series: Meats_gday10 (x10 = g/day),6.02,6.02
