outcome,k,n,events,clusters,HR24,HR24_lo,HR24_hi,HRmax,maxcell,chi2_joint,p_joint,p_pretrend,chi2_nonlin,p_nonlin,HR_per6m,HR_per6m_lo,HR_per6m_hi,p_trend6m,HR_per_cell,HR_per_cell_lo,HR_per_cell_hi,p_trend_cell
lung,0,62858,589,54,0.563055145317646,0.41738155311929326,0.7595714144512364,0.563055145317646,9,45.88687570649616,9.576689219414902e-09,0.962104779795785,4.708032320555212,0.1944680850079923,0.8833500406546766,0.8341394506098649,0.9354638409130658,2.223881935156115e-05,0.8798372162960896,0.8290203528412362,0.9337690257260794,2.4688522952502325e-05
lung,1,62858,589,54,0.3273992704532775,0.207936256517812,0.5154958740163542,0.3273992704532775,9,34.62373097465505,1.7885139491635726e-06,0.29375586832438116,6.486272902737339,0.09020544162159139,0.8766568304955593,0.8180031411634378,0.9395161947195597,0.00019465019442390855,0.8703728419798933,0.8125814722532793,0.9322743748457393,7.476669878350084e-05
lung,2,62858,589,54,,,,0.6706064480768609,8,14.975821640145037,0.0047516282727876336,0.4577650224914339,3.4002976561040565,0.18265633764281264,0.8923942865055126,0.8239407727287269,0.9665349609417591,0.005175256686026127,0.8887430543003042,0.8121230714098887,0.9725917713380403,0.01034217682286255
liver,0,62858,113,54,0.3198838678062107,0.1429061024011487,0.7160344251459955,0.3198838678062107,9,38.77925026836932,2.6306077760551716e-07,0.7557937944198256,9.705243630817062,0.021245233966021293,0.7358545062399382,0.6436012672751341,0.8413312432496258,7.190602410393428e-06,0.7319252193492548,0.6311751148145176,0.8487573640746029,3.623542286720657e-05
liver,1,62858,113,54,0.2771488746539186,0.1155686120514912,0.6646397958617898,0.2771488746539186,9,29.656286909955078,1.723316580892753e-05,0.45608916718309744,3.7775874260999345,0.2865038742825874,0.7228817501494534,0.6138257551691174,0.8513132925730118,0.00010052383166526743,0.7121063775610365,0.603045925135396,0.8408903399011414,6.248019457537561e-05
liver,2,62858,113,54,,,,0.40345068491485336,8,22.782273795490358,0.00013995978214575988,0.8178252137078812,6.778423696627303,0.033735254922496405,0.7392868424030089,0.6140317269255122,0.8900925007357354,0.0014262822809120003,0.7511548159039585,0.6151206041278949,0.9172730577862341,0.004998883232271893
rectum,0,62858,363,54,0.6041641422181518,0.4429961082677852,0.8239673079058947,0.6041641422181518,9,77.19973038346137,3.219646771412954e-15,0.0122479901706255,27.250490179728565,5.216733299340248e-06,0.9048747791255021,0.8545292744441555,0.9581864429747347,0.0006206685235679463,0.8934324339857005,0.840342623059036,0.9498762673633137,0.00031184351591639393
rectum,1,62858,363,54,1.1274813614852468,0.7507148965447958,1.6933382118131066,1.1274813614852468,9,39.59034976270413,1.8061062700969188e-07,0.0743400481156391,33.56986079948497,2.441828697019588e-07,0.8974036223420201,0.8363191278886593,0.9629497096708695,0.0026151883378828927,0.9090726853184756,0.8478371952772243,0.9747309410292209,0.0073768529072229735
rectum,2,62858,363,54,,,,0.668682065317553,8,42.924876723862916,1.0726013743855844e-08,0.24973003653114645,16.56406795484569,0.0002530220351883994,0.8852231281986258,0.8201769753584183,0.9554279262171654,0.001742291557366088,0.8804176796431084,0.8114840172396023,0.9552070948543219,0.00220105407879425
prostate,0,27560,1339,54,0.48494640317151727,0.3963145205813458,0.5933999430654754,0.48494640317151727,9,118.1182272926356,0.0,0.08364500666611874,5.92782932792796,0.11517476851872022,0.8684627370866097,0.8446897956091066,0.8929047440002417,2.2989432956912454e-23,0.8616609992404877,0.8371264048681144,0.8869146562508525,5.3819694728677435e-24
prostate,1,27560,1339,54,0.41769240408974306,0.3081695830158735,0.5661394052159996,0.41769240408974306,9,80.555467636815,6.661338147750939e-16,0.15153679419027388,1.5996556561387671,0.6594678998972363,0.8606234126504346,0.8347663595504301,0.8872813930846174,5.210121870477316e-22,0.8567189778397899,0.8273248817060136,0.8871574193167644,3.8939779944443294e-18
prostate,2,27560,1339,54,,,,0.559981158083105,8,123.80555431273592,0.0,0.1411504670215673,1.6654651689853708,0.43485937131575925,0.8652506697783254,0.8369774167541939,0.894478998555476,1.3544077898814497e-17,0.8606480321299664,0.8338406974039764,0.8883172019730821,1.4666353885492725e-20
breast,0,35298,2341,54,0.6390873550544238,0.5332878752472625,0.7658764925062036,0.6390873550544238,9,81.87875845667782,3.3306690738754696e-16,0.28010434792634686,8.414624423497568,0.038176567509206616,0.922363942792526,0.9011945655167958,0.9440305961853013,8.977573565753546e-12,0.9188368217799258,0.8964390598505658,0.9417941975881453,1.7822620388353685e-11
breast,1,35298,2341,54,0.7863234996682045,0.6799593268657806,0.9093259283323307,0.7863234996682045,9,63.32947997420543,2.4877877535800508e-12,0.00017616090025429632,6.304718715512768,0.09769037614854092,0.9226718365600847,0.8994622425507011,0.9464803275865936,5.950622455237683e-10,0.9230358126478423,0.8982704199350919,0.9484839893670627,7.849637992843886e-09
breast,2,35298,2341,54,,,,0.660335753586295,8,88.709912987429,0.0,0.07382642994979804,10.640307186411164,0.004892002289219932,0.9038342123281513,0.8808398735958092,0.9274288186341891,1.470348170452869e-14,0.9054889399464906,0.8807870532421382,0.9308835970594322,1.9890394735690336e-12
